10.8864 	ERROR 	2020.1.2 is not currently available.
18.5328 	EXP 	Created endM = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color='black', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='NotoSansCJKkr-Medium', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='endM', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([0., 0., 0.]), text=str(...), units='norm', win=Window(...), wrapWidth=1)
18.5747 	EXP 	startM: autoDraw = True
19.2337 	DATA 	Keypress: space
19.2414 	EXP 	startM: autoDraw = False
19.2414 	EXP 	instr1: autoDraw = True
19.8744 	EXP 	Imported t1_design.xlsx as conditions, 16 conditions, 7 params
19.8750 	EXP 	Created sequence: random, trialTypes=16, nReps=1, seed=None
19.8757 	EXP 	New trial (rep=0, index=0): OrderedDict([('IMname', 'stim/nonliving/nonliving007.jpg'), ('Category', 2), ('CorrAnsCat', 'm'), ('Location', 3), ('LocPosX', -0.5), ('LocPosY', -0.5), ('CorrAnsLoc', 1)])
19.9092 	DATA 	Keypress: space
19.9228 	EXP 	instr1: autoDraw = False
19.9228 	EXP 	LearnIM: pos = array([-0.5, -0.5])
19.9228 	EXP 	LearnIM: image = 'stim/nonliving/nonliving007.jpg'
19.9228 	EXP 	fix1: autoDraw = True
19.9228 	EXP 	rect1_1: autoDraw = True
19.9228 	EXP 	rect1_2: autoDraw = True
19.9228 	EXP 	rect1_3: autoDraw = True
19.9228 	EXP 	rect1_4: autoDraw = True
20.4407 	EXP 	LearnIM: autoDraw = True
21.2306 	DATA 	Keypress: z
21.8605 	EXP 	New trial (rep=0, index=1): OrderedDict([('IMname', 'stim/living/living008.jpg'), ('Category', 1), ('CorrAnsCat', 'z'), ('Location', 4), ('LocPosX', 0.5), ('LocPosY', -0.5), ('CorrAnsLoc', 2)])
21.8754 	EXP 	fix1: autoDraw = False
21.8754 	EXP 	rect1_1: autoDraw = False
21.8754 	EXP 	rect1_2: autoDraw = False
21.8754 	EXP 	rect1_3: autoDraw = False
21.8754 	EXP 	rect1_4: autoDraw = False
21.8754 	EXP 	LearnIM: autoDraw = False
21.8754 	EXP 	LearnIM: pos = array([ 0.5, -0.5])
21.8754 	EXP 	LearnIM: image = 'stim/living/living008.jpg'
21.8754 	EXP 	fix1: autoDraw = True
21.8754 	EXP 	rect1_1: autoDraw = True
21.8754 	EXP 	rect1_2: autoDraw = True
21.8754 	EXP 	rect1_3: autoDraw = True
21.8754 	EXP 	rect1_4: autoDraw = True
22.3595 	EXP 	LearnIM: autoDraw = True
23.0823 	DATA 	Keypress: m
23.8594 	EXP 	LearnIM: autoDraw = False
23.8601 	EXP 	New trial (rep=0, index=2): OrderedDict([('IMname', 'stim/living/living005.jpg'), ('Category', 1), ('CorrAnsCat', 'z'), ('Location', 1), ('LocPosX', -0.5), ('LocPosY', 0.5), ('CorrAnsLoc', 4)])
23.8766 	EXP 	fix1: autoDraw = False
23.8766 	EXP 	rect1_1: autoDraw = False
23.8766 	EXP 	rect1_2: autoDraw = False
23.8766 	EXP 	rect1_3: autoDraw = False
23.8766 	EXP 	rect1_4: autoDraw = False
23.8766 	EXP 	LearnIM: autoDraw = False
23.8766 	EXP 	LearnIM: pos = array([-0.5,  0.5])
23.8766 	EXP 	LearnIM: image = 'stim/living/living005.jpg'
23.8766 	EXP 	fix1: autoDraw = True
23.8766 	EXP 	rect1_1: autoDraw = True
23.8766 	EXP 	rect1_2: autoDraw = True
23.8766 	EXP 	rect1_3: autoDraw = True
23.8766 	EXP 	rect1_4: autoDraw = True
24.3605 	EXP 	LearnIM: autoDraw = True
24.7657 	DATA 	Keypress: z
25.8603 	EXP 	LearnIM: autoDraw = False
